PANTUN,PENGARANG,HIMPUNAN,TEMA,JENIS,RIMA_TENGAH_1,RIMA_TENGAH_2,RIMA_TENGAH_3,RIMA_TENGAH_4,RIMA_AKHIR_1,RIMA_AKHIR_2,RIMA_AKHIR_3,RIMA_AKHIR_4,MARKAH,PERKATAAN
"Di atas dahan burung tempua,  Melihat rusa tepi perigi;  Salam perpisahan untuk semua,  Dilain masa bersua lagi.",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,han,sa,han,sa,pua,gi,a,gi,21.0,"Salam, semua,, masa, bersua, tepi, Dilain, Melihat, perpisahan, tempua,, perigi;, dahan, rusa, untuk, Di, atas, burung, lagi."
"Kalau pergi Tanjung Keramat,  Anak manis jangan diangkat;  Bersama kita memohon rahmat,  Moga majlis mendapat berkat.",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,gi,nis,ta,lis,mat,kat,mat,kat,22.0,"manis, memohon, jangan, Bersama, rahmat,, kita, Keramat,, Tanjung, pergi, berkat., diangkat;, majlis, mendapat, Anak, Moga, Kalau"
"Bunga seroja di atas para,  Jatuh ditimpa buah berangan;  Andai kata tersilap bicara,  Kemaafan jua kami pohonkan.",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,ja,pa,ta,a,ra,ngan,ra,kan,20.0,"atas, bicara,, Jatuh, ditimpa, Bunga, berangan;, Andai, kami, kata, jua, buah, seroja, tersilap, para,, di, Kemaafan, pohonkan."
"Dari Kedah ke pekan sari,  Beli suasa di Kota Tinggi;  Selesai sudah tugas diberi,  Di lain masa bersua lagi.",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,dah,sa,dah,sa,ri,gi,ri,gi,24.0,"Kota, Beli, di, Tinggi;, Selesai, ke, masa, bersua, lain, Dari, lagi., tugas, Di, sari,, sudah, suasa, Kedah, pekan, diberi,"
"Dari Rokan ke Indragiri,  Membawa tinta ke Kuala Linggi;  Baliklah tuan rehatkan diri,  Esok kita bersua lagi.",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,kan,ta,an,ta,ri,gi,ri,gi,22.0,"Indragiri,, Membawa, Linggi;, tuan, rehatkan, Baliklah, bersua, kita, Esok, tinta, diri,, Rokan, Kuala, ke, Dari, lagi."
"Pohon berangan tempat bertemu,  Girangnya rasa si anak dara;  Baliklah tuan membawa ilmu,  Binalah bangsa bangunkan negara.",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,ngan,sa,an,sa,mu,ra,mu,ra,23.0,"tuan, bangsa, bangunkan, tempat, Pohon, anak, Baliklah, berangan, si, negara., bertemu,, rasa, Binalah, dara;, Girangnya, ilmu,, membawa"
"Bunga dedap di atas para,  Anak dusun pasang pelita;  Kalau tersilap tutur bicara,  Jemari disusun maaf dipinta.",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,dap,sun,lap,sun,ra,ta,ra,ta,23.0,"bicara,, disusun, tutur, pelita;, Bunga, dedap, Jemari, maaf, tersilap, dipinta., pasang, di, Anak, para,, atas, dusun, Kalau"
"Banyak keluk ke penarik,  Keluk tumbuh pohon kuini;  Nan elok bawalah balik,  Nan tak elok tinggallah di sini.",Pantun Di Akhir Majlis,Pantun Di Akhir Majlis,Akhir Majlis,Ucapan,luk,buh,lok,lok,rik,ni,lik,ni,16.0,"Keluk, bawalah, balik,, tinggallah, tumbuh, keluk, kuini;, elok, pohon, penarik,, Banyak, sini., di, ke, Nan, tak"
"Tetak buluh kajang sepuluh,  Laksana dititing kias ibarat;  Angkat tangan jemari sepuluh,  Doa di pohon biar selamat.",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,luh,ting,ngan,hon,luh,rat,luh,mat,20.0,"kajang, buluh, dititing, tangan, biar, sepuluh,, Tetak, kias, pohon, selamat., Laksana, ibarat;, Angkat, di, jemari, Doa"
"Tetak buluh kajang sepuluh,  Mari jolok sarang penyengat;  Angkat tangan jemari sepuluh,  Doa di pohon biar selamat.",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,luh,lok,ngan,hon,luh,ngat,luh,mat,21.0,"kajang, buluh, tangan, sarang, biar, sepuluh,, Mari, jolok, Tetak, selamat., penyengat;, pohon, Angkat, di, jemari, Doa"
"Lebat kemiri pohonnya rendah,  Dahan terikat tali perkasa;  Sepuluh jari kami menadah,  Mohon berkat yang Maha Esa.",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,ri,kat,ri,kat,dah,sa,dah,sa,24.0,"yang, berkat, Lebat, perkasa;, Sepuluh, menadah,, Esa., kemiri, Maha, Mohon, jari, kami, pohonnya, terikat, rendah,, tali, Dahan"
"Garam ada kicap pun ada,  Sayang lada terlupa bagi;  Pantun ada ucapan ada,  Sayang tiada berdoa lagi.",Pantun Bacaan Doa,Pantun Bacaan Doa,Bacaan Doa,Doa,da,da,da,da,da,gi,da,gi,24.0,"Pantun, terlupa, tiada, ada, lada, Sayang, bagi;, kicap, ucapan, ada,, berdoa, Garam, pun, lagi."
"Pohon beringin tepi keramat,  Dengar siulan di ufuk barat;  Kalau ingin hidup selamat,  Buat bekalan untuk akhirat.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,ngin,lan,ngin,lan,mat,rat,mat,rat,24.0,"ingin, hidup, bekalan, selamat,, Buat, Pohon, ufuk, barat;, siulan, keramat,, beringin, untuk, akhirat., Dengar, di, tepi, Kalau"
"Betik muda buat halwa,  Kelapa muda santan dirasa;  Biar muda di dalam jiwa,  Dari tua sebelum masa.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,da,da,da,a,wa,sa,wa,sa,19.0,"Kelapa, dalam, muda, tua, dirasa;, halwa,, Biar, Betik, jiwa,, sebelum, santan, di, masa., buat, Dari"
"Timba suasa ditepi kali,  Buat menyimbah si tuan puteri;  Berputus asa jangan sekali,  Jadikan tabah pakaian diri.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,sa,bah,sa,bah,li,ri,li,ri,24.0,"tuan, Timba, Buat, puteri;, jangan, Berputus, sekali,, suasa, si, asa, ditepi, pakaian, kali,, Jadikan, tabah, menyimbah, diri."
"Apa guna siparang panjang,  Kalau tidak dengan tujuan;  Apa guna berumur panjang,  Kalau tidak dengan amalan.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,na,dak,na,dak,jang,an,jang,lan,23.0,"tujuan;, dengan, amalan., siparang, Apa, tidak, berumur, guna, panjang,, Kalau"
"Pohon senduduk baru di tanam,  Sayang mati di pijak pak tani;  Dari duduk baik bersenam,  Senang hati sihat jasmani.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,duk,di,duk,ti,nam,ni,nam,ni,24.0,"baru, tanam,, Senang, pijak, tani;, Pohon, baik, duduk, hati, sihat, pak, Sayang, senduduk, bersenam,, mati, jasmani., di, Dari"
"Pintal kapas menjadi benang,  Tenun benang menjadi sari;  Barang yang lepas jangan dikenang,  Kalau dikenang meracun diri.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,pas,nang,pas,nang,nang,ri,nang,ri,25.0,"yang, dikenang,, meracun, benang,, Barang, jangan, diri., benang, sari;, lepas, menjadi, Pintal, kapas, Tenun, Kalau, dikenang"
"Beli keladi di Pekan Lidup,  Sayang rasa lemaknya kurang;  Taburlah budi ketika hidup,  Kelak jasa dikenang orang.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,di,sa,di,sa,dup,rang,dup,rang,23.0,"orang., dikenang, keladi, Lidup,, kurang;, rasa, Sayang, lemaknya, Pekan, jasa, Beli, hidup,, ketika, di, Kelak, budi, Taburlah"
"Tidak goyah pancang seribu,  Tika masih badai menderu;  Engkau ayah engkaulah ibu,  Menumpang kasih mengubat rindu.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,yah,sih,yah,sih,bu,ru,bu,du,22.0,"masih, goyah, badai, engkaulah, Menumpang, Tidak, rindu., ibu,, pancang, seribu,, menderu;, Tika, ayah, kasih, mengubat, Engkau"
"Pergi ke Nilai membeli jamu,  Jamu rasa dari tenggara;  Tidak ternilai jasa baktimu,  Kepada bangsa juga negara.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,lai,sa,lai,sa,mu,ra,mu,ra,24.0,"dari, bangsa, Jamu, Tidak, Nilai, Kepada, negara., rasa, jasa, jamu,, tenggara;, juga, baktimu,, membeli, ke, Pergi, ternilai"
"Bukan gua sebarang gua,  Gua penuh pusaka bonda;  Bukan tua sebarang tua,  Tua penuh ilmu di dada.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,a,nuh,a,nuh,a,da,a,da,25.0,"dada., penuh, gua,, tua,, tua, Gua, Bukan, bonda;, Tua, ilmu, gua, di, pusaka, sebarang"
"Anak dara ke Tanjung Batu,  Janji bertemu di Teluk Bayu;  Walau usia dimamah waktu,  Cekal hatimu tak pernah layu.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,ra,mu,a,mu,tu,yu,tu,yu,23.0,"usia, Janji, layu., di, ke, tak, dara, waktu,, Cekal, dimamah, Bayu;, Walau, Batu,, pernah, hatimu, Teluk, bertemu, Tanjung, Anak"
"Pohon sena tepi perigi,  Tepi paya si pohon jambu;  Hadirmu laksana suria pagi,  Menyinar maya tak pernah jemu.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,na,ya,na,ya,gi,bu,gi,mu,22.0,"perigi,, Hadirmu, laksana, pagi,, jemu., Pohon, Tepi, paya, si, tak, suria, Menyinar, jambu;, pohon, maya, pernah, tepi, sena"
"Curah serbat di atas lantai,  Basah tikar lupa disidai;  Dikau ibarat karang di pantai,  Tak pernah gentar dipukul badai.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,bat,kar,rat,tar,tai,dai,tai,dai,23.0,"badai., Basah, Dikau, tikar, serbat, lantai,, pantai,, dipukul, disidai;, ibarat, Tak, pernah, karang, di, atas, Curah, lupa, gentar"
"Bulan purnama ke pekan Kuah,  Di tengah hari membeli ragi;  Dirimu umpama nyiur bertuah,  Padat sari harum mewangi.",Koleksi Pantun Majlis,Koleksi Pantun Majlis,Warga Emas,Pujian,ma,ri,ma,ri,kuah,gi,ah,ngi,19.0,"hari, Padat, sari, bertuah,, umpama, purnama, ragi;, membeli, Dirimu, harum, pekan, Bulan, nyiur, Kuah,, tengah, mewangi., Di, ke"
"Pilin jerami sawahnya asri, sungguh cantik sungguhlah menawan; Tujuan kami datang ke mari, untuk memetik bunga di taman.",Warga Emas Pertapis,Himpunan Pantun Majlis Meminang Warga Emas Pertapi,Majlis Meminang,Ucapan,mi,tik,mi,tik,ri,wan,ri,man,25.0,"sungguhlah, cantik, memetik, menawan;, mari,, taman., asri,, Tujuan, jerami, sawahnya, sungguh, datang, kami, untuk, Pilin, bunga, di, ke"
"Ayuh tadah di tengahari, sudah bejat air di kandang; Tuan sudah sampai ke mari, apa hajat datang bertandang.",Warga Emas Pertapis,Himpunan Pantun Majlis Meminang Warga Emas Pertapis,Majlis Meminang,Ucapan,dah,jat,dah,jat,ri,dang,ri,dang,25.0,"kandang;, tengahari,, sampai, mari,, sudah, hajat, bejat, air, apa, datang, tadah, Tuan, bertandang., Ayuh, di, ke"
"Pergi ke pasar membeli ikan, seekor ikan tenggiri batang; Sudah lama saya nantikan, namun dikau tak kunjung datang.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman,Rindu,Ucapan,sar,kan,ma,kau,kan,tang,kan,tang,23.0,"kunjung, tenggiri, datang., namun, pasar, batang;, ikan, saya, nantikan,, lama, Sudah, seekor, ikan,, dikau, membeli, ke, Pergi, tak"
"Sungguh sedap air kelapa, makan nasi berulam penggaga; Bila masa kita nak jumpa? Tunggulah kanda di pintu syurga.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman,Rindu,Ucapan,dap,si,sa,da,pa,ga,pa,ga,21.0,"Tunggulah, Sungguh, jumpa?, masa, kanda, kelapa,, berulam, nasi, pintu, kita, nak, air, sedap, makan, syurga., penggaga;, Bila, di"
"Waktu malam cuaca sejuk, susah bangun tegak berdiri; Engkau pergi kerana merajuk, tinggalkan aku seorang diri.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman,Rindu,Ucapan,lam,ngun,gi,ku,juk,ri,juk,ri,23.0,"merajuk,, tinggalkan, seorang, Waktu, diri., malam, berdiri;, aku, pergi, tegak, bangun, kerana, sejuk,, cuaca, susah, Engkau"
"Beriring balam dengan merbah, buah lakum dijolok jatuh, Berkirim salam dengan sembah, assalamualaikum warahmatullahi wabarakatuh",Warga Emas Pertapis,Himpunan Majlis Meminang Warga Emas Pertapis,Majlis Meminang,Ucapan,lam,kum,lam,kum,bah,tuh,bah,tuh,25.0,"dijolok, lakum, merbah,, Beriring, dengan, Berkirim, salam, assalamualaikum, sembah,, jatuh,, buah, balam, wabarakatuh, warahmatullahi"
"Buluh galah tumbuh melata, sayang terpijak kaca botol; Kalaulah salah apa nak dikata, lupakan saja terima yang betol.",Haji Sulaiman Ahmad,Himpunan Haji Sulaiman Ahmad,Maaf,Ingatan,lah,jak,lah,ja,ta,tol,ta,tol,25.0,"saja, terpijak, Kalaulah, melata,, yang, sayang, kaca, dikata,, nak, galah, apa, botol;, lupakan, betol., terima, salah, Buluh, tumbuh"
"Gunung daik berkunang-kunang, serawan jala tebar di tanjung; Budi baik dikenang-kenang, jasa pula dijunjung-junjung.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Budi Baik,Kenangan,ik,la,ik,la,nang,jung,nang,jung,25.0,"Budi, Gunung, serawan, berkunang-kunang,, baik, dikenang-kenang,, pula, tanjung;, daik, jasa, dijunjung-junjung., di, jala, tebar"
"Baju layang sebidang dada, tanda kurnia berawan larat; Kasih sayang ayah dan bonda, dari dunia sampai akhirat.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Kasih Sayang,Kenangan,yang,a,yang,a,da,rat,da,rat,25.0,"dari, sampai, sayang, larat;, layang, sebidang, berawan, bonda,, tanda, dada,, Kasih, Baju, ayah, dan, dunia, akhirat., kurnia"
Dendang Melayu megah berdiri Sungguh memikat menawan sukma Terbilang Melayu Payung Negeri  Teguh sepakat tujuan bersama,YM Raja Muhamad Amin,Himpunan Pantun Yang Mulia Raja M. Amin,Melayu,Tujuan dan cita-cita,yu,kat,yu,kat,ri,ma,ri,ma,25.0,"Sungguh, Negeri, berdiri, Payung, Dendang, sukma, Teguh, bersama, menawan, tujuan, megah, Melayu, sepakat, memikat, Terbilang"
"Puteh berseh Pantai Selatan, rase tenang pancing gelame; Terima kaseh atas sambutan, akan dikenang selame-lame.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Terima kaseh,Ucapan,seh,nang,seh,nang,tan,me,tan,me,25.0,"akan, Puteh, rase, berseh, Terima, kaseh, Selatan,, tenang, selame-lame., gelame;, pancing, sambutan,, Pantai, atas, dikenang"
"Membeli selaseh bersame berangan, selaseh dijemur di tepi perigi; Terime kaseh atas kunjungan, panjang umur berjumpe lagi.",Yang Mulia Raja M. Amin,Himpunan Pantun Yang Mulia Raja M. Amin,Terima Kaseh,Ucapan,seh,mur,seh,mur,ngan,gi,ngan,gi,25.0,"atas, Membeli, berangan,, umur, panjang, selaseh, Terime, berjumpe, kaseh, kunjungan,, bersame, dijemur, perigi;, di, tepi, lagi."
"Datang kami hendak memanjat, pohon yang kiri pohon kweni; Datang kami membawa hajat, Pinang putri di taman ini.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Hsjat,Meminang,mi,ri,mi,ri,jat,ni,jat,ni,25.0,"yang, kiri, Datang, hajat,, Pinang, putri, taman, pohon, kami, kweni;, hendak, ini., memanjat,, di, membawa"
"Buah cempedak di atas dahan, gugur sebiji menghempap kambing; kalau cakap perlahan-lahan, biar senang kita berunding.",Hj Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Hati & Cakap,Jenaka,dak,ji,kap,nang,han,bing,han,ding,23.0,"gugur, Buah, kambing;, perlahan-lahan,, biar, kita, sebiji, kalau, berunding., dahan,, cempedak, cakap, senang, menghempap, di, atas"
"Saratnya bija dalam perahu, hendak taburkan di hujung desa; Sosok sahaja sudah ku tahu, Gerangan bukan orang biasa.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Watak,Pujian,ja,kan,ja,kan,hu,sa,hu,sa,25.0,"Sosok, tahu,, dalam, ku, orang, desa;, sudah, Saratnya, bija, hujung, Gerangan, taburkan, hendak, perahu,, bukan, biasa., di, sahaja"
"Sungai Perak memanglah sempit, air mengalir tidak berhenti; Hendak ku bawa hatiku sakit, hendak ku tinggal tak sampai hati.",Hj Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Hati & Cakap,Jenaka,rak,lir,wa,gal,pit,ti,kit,ti,20.0,"sampai, bawa, berhenti;, Sungai, mengalir, sakit,, memanglah, hati., sempit,, air, tinggal, Perak, tidak, Hendak, hendak, hatiku, ku, tak"
"Nenek menganyam tudung saji, cucu pula menonton wayang; Kalau kita rajin mengaji, besar nanti senang sembahyang.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Tudung saji,Nasihat,nyam,la,ta,ti,ji,yang,ji,yang,23.0,"sembahyang., tudung, saji,, nanti, besar, cucu, Nenek, kita, menonton, menganyam, mengaji,, senang, wayang;, pula, rajin, Kalau"
"Nenek menganyam tudung saji, cucu membuat layang-layang; Kalau kita malas mengaji, besar nanti susah sembahyang.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Tudung saji,Nasihat,nyam,at,ta,ti,ji,yang,ji,yang,23.0,"sembahyang., tudung, saji,, layang-layang;, besar, susah, cucu, Nenek, kita, malas, menganyam, nanti, membuat, mengaji,, Kalau"
"Memilin rami batangan padi, , ukas dan remis jala serawan; Hidangan mi putih Hari Jadi, Hujan gerimis menjadi kawan.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Suasana,Suasana,mi,mis,mi,mis,di,wan,di,wan,25.0,"gerimis, batangan, Hari, kawan., jala, ,, rami, mi, padi,, putih, Jadi,, menjadi, serawan;, dan, Memilin, remis, ukas, Hidangan, Hujan"
"Berelau-relau melebur timah, Ditempa luk-luk beralat jari, Berkilau-kilau memancar hikmah, jajahan takluk alam bahari.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Sang Sapurba,Sejarah,lau,luk,lau,luk,mah,ri,mah,ri,25.0,"Ditempa, timah,, beralat, Berkilau-kilau, hikmah,, alam, jari,, bahari., memancar, takluk, Berelau-relau, jajahan, melebur, luk-luk"
"Di tepi bukit ada kali, bersama-sama bawa parang; Kuih bangkit buatan asli, sudah lama digemar orang.",Warga Emas Pertapis,Program Berse6 Pantun Pertapis,Peribahasa,Nasihat,kit,ma,kit,ma,li,rang,li,rang,25.0,"orang., bawa, parang;, Kuih, bangkit, buatan, sudah, bukit, ada, bersama-sama, kali,, lama, digemar, Di, tepi, asli,"
"Rumah kecil bertiang bakau, nibung pula tiang di tengah; Berjam-jam asyik urut pakau, tangung jawab di lengah-lengah.",Warga Emas Pertapis,Program Pantun Pertapis,Renung Diri,Pesanan,cil,la,syik,wab,kau,ngah,kau,ngah,24.0,"jawab, nibung, kecil, asyik, bertiang, tiang, urut, Berjam-jam, pakau,, lengah-lengah., tangung, di, pula, Rumah, bakau,, tengah;"
"Naik basikal ke rumah Cik Awang, di rumah Cik Awang makan kenduri; Janganlah irikan hartanya orang, syukur pada Allah harta sendiri.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Harta,Nasihat,kal,wang,kan,lah,wang,ri,rang,ri,22.0,"rumah, orang,, hartanya, di, ke, harta, pada, Awang,, sendiri., irikan, Naik, kenduri;, basikal, Cik, syukur, Janganlah, Allah, Awang, makan"
"Bersikat rambut menghadap cermin, mari dibasuh di waktu petang; Jikalau makan kurang vitamin, segala penyakit lekas datang.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Harta,Nasihat,but,suh,kan,kit,min,tang,min,tang,24.0,"rambut, Bersikat, segala, penyakit, datang., menghadap, Jikalau, petang;, kurang, cermin,, vitamin,, makan, lekas, di, mari, dibasuh, waktu"
"Hisap rokok tembakau Nyonya, lepas hisap tak sedap rasa; Kalau hidup tidak berpunya, janganlah lekas putus asa.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Harta,Nasihat,kok,sap,dup,kas,nya,sa,nya,sa,23.0,"hidup, janganlah, Hisap, rasa;, asa., tembakau, sedap, lepas, lekas, Nyonya,, tidak, berpunya,, putus, rokok, hisap, Kalau, tak"
"Ikat mengkuang ketat-ketat, tambat sampan dekat muara; Masa tak buang rajin mencatat, baru mempan jadi juara.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Rajin,Semangat,ang,pan,ang,pan,tat,ra,tat,ra,25.0,"sampan, muara;, mencatat,, baru, mengkuang, dekat, tak, ketat-ketat,, mempan, jadi, juara., tambat, buang, Masa, rajin, Ikat"
"Dalam semak berular tedung, Jangan lupa membawa parang; Bagai lembu dicucuk hidung, Turut sahaja cakapnya orang.",Warga Emas Pertapis,Program Berse6 Pantun Pertapis,Peribahasa,Nasihat,mak,pa,bu,ja,dung,rang,dung,rang,22.0,"semak, lupa, dicucuk, membawa, Bagai, Turut, sahaja, cakapnya, parang;, orang., lembu, berular, hidung,, tedung,, Jangan, Dalam"
"Masuk belukar cari mengkuang, mengkuang pandan berumpun-rumpun; masa sukar tiada yang luang, memanglah padan meminta ampun.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Masa,Nasihat,kar,dan,kar,dan,ang,pun,ang,pun,25.0,"yang, ampun., cari, mengkuang, berumpun-rumpun;, masa, padan, memanglah, tiada, Masuk, sukar, meminta, belukar, mengkuang,, luang,, pandan"
"Hitam sakti bersampin tabur, rebung jati beremas raya; Jaga hati janganlah takabbur, menjunjung pati seri budaya.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Jaga Hati,Pertabalan,ti,ti,ti,ti,bur,ya,bur,ya,25.0,"janganlah, seri, budaya., pati, raya;, hati, tabur,, Hitam, beremas, jati, bersampin, sakti, menjunjung, Jaga, rebung, takabbur,"
"Landai bukan sebarang landai, sungguh landai di Telok Langka; kedainya bukan sebarang kedai, ini e-kedai pantun pusaka.",CG Karmin Abbas,Himpunan Pantun CG Karmin,E-Kedai pantun,Promosi,kan,dai,kan,dai,dai,ka,dai,ka,25.0,"ini, pusaka., Landai, Langka;, Telok, kedainya, e-kedai, sungguh, pantun, bukan, kedai,, landai, di, landai,, sebarang"
"Kalau patah sayap nan lama, sibu-sibu henti berlegar ; Kalau mentah lagilah atma, bagai sumbu belum terbakar.",CG Karmin Abbas,Himpunan Pantun CG Karmin,Belum Matang,Nasihat,tah,bu,tah,bu,ma,gar,ma,kar,25.0,";, nan, mentah, belum, lama,, patah, berlegar, terbakar., sumbu, sayap, henti, lagilah, atma,, bagai, Kalau, sibu-sibu"
"Ikan selikur ikan cencaru, berbeza nama sama ikannya; Cepat bersyukur kala terharu, berlama-lama dalam sujudnya.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Syukur,Ingatan,kur,ma,kur,ma,ru,nya,ru,nya,25.0,"sama, dalam, bersyukur, nama, cencaru,, kala, Cepat, ikan, ikannya;, selikur, sujudnya., terharu,, berlama-lama, berbeza, Ikan"
"Bukan ukas antara ukas, tumbuh ukas menjadi karang; Bukan nak lekas sebarang lekas, nak lamar lekas anaknya orang.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Meminang,Gurauan,kas,kas,kas,kas,kas,rang,kas,rang,25.0,"orang., antara, karang;, ukas, nak, Bukan, lekas,, menjadi, lekas, ukas,, anaknya, lamar, tumbuh, sebarang"
"Ramai orang pergi ke bukit, ada pesta tari-menari; Sedangkan lidah lagi tergigit, inikan pula suami isteri.",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Rumah Tangga,Nasihat,rang,ta,dah,la,kit,ri,git,ri,20.0,"inikan, suami, isteri., pergi, ada, tari-menari;, lidah, pesta, tergigit,, pula, Sedangkan, orang, lagi, Ramai, bukit,, ke"
"Makan nasi sayurnya kacang, bawah rumah banyak kerengga; Bersama isteri duduk berbincang, supaya aman rumah tangga.",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Rumah Tangga,Nasihat,si,mah,ri,man,cang,ga,cang,ga,22.0,"rumah, isteri, Makan, kacang,, berbincang,, Bersama, supaya, nasi, kerengga;, duduk, tangga., banyak, aman, sayurnya, bawah"
"Seberang parit gunakan titi, seiring jalan dengan Cik Nyonya; Sudah lama abang menanti, Cantik manis tiada yang punya",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Rumah Tangga,Nasihat,rit,lan,ma,nis,ti,nya,ti,nya,22.0,"yang, Cantik, manis, abang, menanti,, dengan, Cik, titi,, tiada, lama, Nyonya;, seiring, Sudah, jalan, punya, parit, gunakan, Seberang"
"Sungguh enak santan kelapa, masaknya gulai ikan parang; Cantik manis anak siapa, waktu petang jalan seorang.",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Gadis,Gurauan,nak,lai,nis,tang,pa,rang,pa,rang,24.0,"Cantik, manis, Sungguh, kelapa,, parang;, anak, seorang., enak, petang, ikan, siapa,, gulai, jalan, santan, masaknya, waktu"
